-1, 10, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0, -1, 0, -1, 20, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
-1, 0, -1, 0, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1, -1
0, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1
-1, 0, -1, -1, -1, 0, -1, -1, -1, 30, -1, -1, -1, -1, -1
-1, -1, 0, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1
-1, -1, -1, -1, -1, 0, -1, 0, -1, -1, -1, 0, -1, -1, -1
-1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, -1, -1, -1, -1
-1, -1, -1, 0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1
-1, -1, -1, -1, 0, -1, -1, -1, -1, -1, 0, -1, -1, 40, -1
-1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1, 100
-1, -1, -1, -1, -1, -1, 0, -1, -1, -1, 0, -1, 0, -1, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 100
-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, -1, -1, 100
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 0, 0, 100
